City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
67,67,Techiman,GH,1667869703,7.5862,-1.9414,72.7,64,97,0.31,overcast clouds
68,68,Birsk,RU,1667869703,55.4211,55.5428,27.63,94,100,6.87,overcast clouds
69,69,Provideniya,RU,1667869704,64.3833,-173.3,32.36,74,100,22.37,snow
70,70,Qaanaaq,GL,1667869704,77.484,-69.3632,-0.65,97,100,4.99,overcast clouds
71,71,Atar,MR,1667869705,20.5169,-13.0499,79.07,17,96,3.69,overcast clouds
72,72,Hithadhoo,MV,1667869705,-0.6,73.0833,81.95,76,13,18.81,few clouds
73,73,Evensk,RU,1667869706,61.95,159.2333,23.29,70,100,7.31,overcast clouds
74,74,Hohhot,CN,1667869706,40.8106,111.6522,40.08,33,45,2.48,scattered clouds
75,75,Barrow,US,1667869706,71.2906,-156.7887,24.82,80,100,23.02,overcast clouds
76,76,Mandalgovi,MN,1667869689,45.7625,106.2708,33.13,36,99,8.75,overcast clouds
77,77,Ostrovnoy,RU,1667869707,68.0531,39.5131,27.52,94,54,5.03,broken clouds
78,78,Naryan-Mar,RU,1667869708,67.6713,53.087,32.77,98,100,11.16,light snow
79,79,Launceston,AU,1667869708,-41.45,147.1667,76.6,40,14,10.36,few clouds
80,80,Waliso,ET,1667869709,8.5333,37.9833,53.8,52,63,7.96,broken clouds
81,81,Lata,PT,1667869709,40.1629,-8.3327,60.93,95,99,6.76,overcast clouds
82,82,Souillac,MU,1667869710,-20.5167,57.5167,72.05,81,67,8.66,broken clouds
83,83,Hilo,US,1667869710,19.7297,-155.09,82.13,76,40,11.5,scattered clouds
84,84,Logan,US,1667869548,41.7355,-111.8344,52.14,83,100,14.97,overcast clouds
85,85,Humberto De Campos,BR,1667869711,-2.5983,-43.4611,75.16,94,98,5.44,overcast clouds
86,86,Bengkulu,ID,1667869712,-3.8004,102.2655,75.25,89,100,2.51,overcast clouds
87,87,Hobart,AU,1667869488,-42.8794,147.3294,77.22,64,0,12.66,clear sky
88,88,Jiblah,YE,1667869712,13.9216,44.1467,58.55,79,0,2.73,clear sky
89,89,Lüderitz,,1667869713,-26.6481,15.1594,61.0,89,81,9.42,broken clouds
90,90,Andenes,NO,1667869713,69.3143,16.1194,40.98,70,20,18.41,few clouds
91,91,Tripoli,LY,1667869714,32.8752,13.1875,67.17,60,0,1.77,clear sky
92,92,Clyde River,CA,1667869625,70.4692,-68.5914,4.78,84,100,7.02,overcast clouds
93,93,Takoradze,GH,1667869745,4.8845,-1.7554,78.26,85,100,5.55,light rain
94,94,Tasiilaq,GL,1667869745,65.6145,-37.6368,30.07,97,100,5.3,light snow
95,95,Samarai,PG,1667869746,-10.6167,150.6667,84.15,69,33,7.7,scattered clouds
96,96,Mitú,CO,1667869746,1.1983,-70.1733,76.37,83,100,0.22,light rain
97,97,Ancud,CL,1667869747,-41.8697,-73.8203,53.69,95,99,3.0,overcast clouds
98,98,Valparaíso,CL,1667869747,-33.0393,-71.6273,56.84,82,100,4.61,overcast clouds
99,99,Yulara,AU,1667869748,-25.2406,130.9889,92.34,21,89,16.78,overcast clouds
100,100,Haines Junction,CA,1667869748,60.7522,-137.5108,4.17,92,90,0.89,overcast clouds
101,101,Atuona,PF,1667869749,-9.8,-139.0333,77.16,68,100,14.18,overcast clouds
102,102,Los Llanos De Aridane,ES,1667869749,28.6585,-17.9182,65.95,45,0,8.05,clear sky
103,103,Arraial Do Cabo,BR,1667869750,-22.9661,-42.0278,68.38,77,100,4.18,overcast clouds
104,104,Antofagasta,CL,1667869751,-23.65,-70.4,60.08,79,46,3.31,scattered clouds
105,105,Port Elizabeth,ZA,1667869509,-33.918,25.5701,62.31,90,100,7.0,overcast clouds
106,106,Kashiba,JP,1667869751,34.5415,135.6988,65.01,63,0,4.47,clear sky
107,107,Longyearbyen,SJ,1667869752,78.2186,15.6401,24.64,74,75,9.22,broken clouds
108,108,Margate,GB,1667869752,51.3813,1.3862,59.31,81,100,8.99,overcast clouds
109,109,Assiut,EG,1667869753,27.181,31.1837,65.12,54,100,6.15,overcast clouds
110,110,Naze,JP,1667869753,28.3667,129.4833,69.08,59,2,10.16,clear sky
111,111,Tomatlán,MX,1667869754,19.9333,-105.25,72.79,90,0,2.91,clear sky
112,112,Bethel,US,1667869754,41.3712,-73.414,66.76,22,0,9.22,clear sky
113,113,Muros,ES,1667869755,42.7762,-9.0603,58.68,83,100,17.85,overcast clouds
114,114,Vostok,RU,1667869755,46.4856,135.8833,33.49,62,28,5.86,scattered clouds
115,115,Havre-St-Pierre,CA,1667869756,50.2334,-63.5986,44.33,69,15,26.4,few clouds
116,116,Manicoré,BR,1667869756,-5.8092,-61.3003,74.34,94,64,2.39,broken clouds
117,117,Snåase,NO,1667869757,64.2457,12.3778,33.21,86,15,3.78,few clouds
118,118,Ribeira Grande,PT,1667869757,38.5167,-28.7,63.77,70,100,4.0,overcast clouds
119,119,Lucapa,AO,1667869458,-8.4192,20.7447,66.34,99,100,2.1,heavy intensity rain
120,120,Chui,UY,1667869758,-33.6971,-53.4616,58.69,83,11,9.44,few clouds
121,121,Seydişehir,TR,1667869759,37.4193,31.8453,45.39,79,47,4.65,scattered clouds
122,122,Hasaki,JP,1667869759,35.7333,140.8333,66.29,54,0,14.03,clear sky
123,123,Saint Paul Harbor,US,1667869760,57.79,-152.4072,36.91,87,100,17.27,light rain
124,124,Hamilton,US,1667869585,39.1834,-84.5333,58.05,35,75,10.36,broken clouds
125,125,Saint-Philippe,RE,1667869760,-21.3585,55.7679,71.19,76,37,6.8,scattered clouds
126,126,Yei,SS,1667869761,4.095,30.6779,65.73,95,100,0.76,light rain
127,127,Anadyr,RU,1667869761,64.75,177.4833,27.1,92,75,15.66,mist
128,128,Lompoc,US,1667869762,34.6391,-120.4579,57.78,80,0,4.61,clear sky
129,129,Myanaung,MM,1667869762,18.2833,95.3167,71.67,82,80,6.11,broken clouds
130,130,New Norfolk,AU,1667869763,-42.7826,147.0587,76.87,37,20,1.01,few clouds
131,131,Cape Town,ZA,1667869503,-33.9258,18.4232,61.12,87,100,2.3,overcast clouds
132,132,Lebu,CL,1667869761,-37.6167,-73.65,53.76,84,100,9.55,overcast clouds
133,133,Cidreira,BR,1667869765,-30.1811,-50.2056,61.65,82,12,11.79,few clouds
134,134,Port Hedland,AU,1667869765,-20.3167,118.5667,78.85,38,0,14.97,clear sky
135,135,Punta Arenas,CL,1667869766,-53.15,-70.9167,53.71,71,0,17.27,clear sky
136,136,Saint Anthony,US,1667869766,45.0205,-93.218,35.82,66,0,6.91,clear sky
137,137,Nikolskoye,RU,1667869766,59.7035,30.7861,39.09,93,100,8.81,overcast clouds
138,138,Australind,AU,1667869767,-33.2667,115.7167,61.52,73,100,10.63,overcast clouds
139,139,Córdoba,AR,1667869649,-31.4135,-64.1811,73.76,39,0,5.75,clear sky
140,140,Sirte,LY,1667869768,31.2089,16.5887,69.37,67,14,7.14,few clouds
141,141,Antalaha,MG,1667869798,-14.9003,50.2788,67.8,86,31,5.3,scattered clouds
142,142,Bobo-Dioulasso,BF,1667869799,11.1771,-4.2979,71.69,26,16,4.16,few clouds
143,143,Simacota,CO,1667869799,6.4429,-73.3369,66.67,97,86,0.31,overcast clouds
144,144,Bredasdorp,ZA,1667869775,-34.5322,20.0403,56.57,92,88,5.82,overcast clouds
145,145,Faanui,PF,1667869800,-16.4833,-151.75,78.85,73,21,6.64,few clouds
146,146,Palekastro,GR,1667869800,35.2,26.25,64.62,75,0,26.55,clear sky
147,147,Vaitape,PF,1667869801,-16.5167,-151.75,78.82,73,21,6.69,few clouds
148,148,Dikson,RU,1667869802,73.5069,80.5464,5.56,95,100,7.94,overcast clouds
149,149,Verāval,IN,1667869803,20.9,70.3667,75.61,63,0,10.74,clear sky
150,150,Hambantota,LK,1667869803,6.1241,81.1185,77.79,82,100,2.91,heavy intensity rain
151,151,Chhor,PK,1667869804,25.5167,69.7667,71.11,41,1,5.19,clear sky
152,152,Pevek,RU,1667869804,69.7008,170.3133,1.42,95,15,1.3,few clouds
153,153,Ponta Do Sol,PT,1667869805,32.6667,-17.1,68.72,86,94,3.76,overcast clouds
154,154,Havelock,US,1667869806,34.8791,-76.9013,71.94,88,40,1.01,scattered clouds
155,155,Daru,PG,1667869807,-9.0763,143.2092,79.39,86,100,4.41,overcast clouds
156,156,Tiksi,RU,1667869807,71.6872,128.8694,0.81,91,100,17.83,overcast clouds
157,157,Namatanai,PG,1667869808,-3.6667,152.4333,83.77,72,98,5.39,light rain
158,158,Ambulu,ID,1667869809,-8.345,113.6058,81.14,79,94,0.92,overcast clouds
159,159,Puerto Escondido,MX,1667869809,15.85,-97.0667,83.23,57,40,3.44,scattered clouds
160,160,Wooster,US,1667869810,40.8051,-81.9351,49.28,55,0,8.05,clear sky
161,161,Troitskoye,RU,1667869811,52.9821,84.6757,28.69,77,94,4.43,overcast clouds
162,162,Dunedin,NZ,1667869811,-45.8742,170.5036,59.31,71,83,10.83,broken clouds
163,163,Ayr,GB,1667869812,55.4627,-4.6339,55.51,82,20,23.02,few clouds
164,164,Oistins,BB,1667869813,13.0667,-59.5333,82.49,78,75,21.85,broken clouds
165,165,Tevriz,RU,1667869813,57.509,72.4042,27.19,87,100,2.3,overcast clouds
166,166,Codrington,AU,1667869814,-38.2667,141.9667,73.92,65,6,10.02,clear sky
167,167,Aklavik,CA,1667869814,68.2191,-135.0107,-0.45,87,100,9.31,overcast clouds
168,168,Hollins,US,1667869815,37.3413,-79.9431,64.62,70,0,4.25,clear sky
169,169,Padang,ID,1667869816,-0.9492,100.3543,77.05,80,100,2.08,moderate rain
170,170,Thabazimbi,ZA,1667869816,-24.5917,27.4116,64.2,93,100,4.94,heavy intensity rain
171,171,Gloucester,GB,1667869810,51.8657,-2.2431,59.76,86,100,15.99,heavy intensity rain
172,172,Bad Liebenwerda,DE,1667869817,51.5167,13.4,51.62,82,84,9.04,broken clouds
173,173,Shahrud,IR,1667869817,36.4182,54.9763,37.89,74,20,5.86,few clouds
174,174,Trelew,AR,1667869818,-43.249,-65.3051,65.84,51,100,4.34,overcast clouds
175,175,Barra De Tecoanapa,MX,1667869819,16.5167,-98.75,80.55,84,16,6.35,few clouds
176,176,Aliwal North,ZA,1667869819,-30.6937,26.7114,59.34,76,100,3.09,overcast clouds
177,177,Flinders,AU,1667869820,-34.5833,150.8552,74.17,58,51,5.01,broken clouds
178,178,Caucaia,BR,1667869820,-3.7361,-38.6531,80.04,74,23,6.29,few clouds
179,179,Adwa,ET,1667869821,14.1646,38.8955,59.05,65,9,4.23,clear sky
180,180,Kachug,RU,1667869821,53.9606,105.8817,24.08,86,96,4.47,overcast clouds
181,181,Kropotkin,RU,1667869822,45.4375,40.5756,39.38,77,100,14.63,overcast clouds
182,182,Beder,DK,1667869823,56.0602,10.2118,55.15,93,100,13.51,overcast clouds
183,183,Chokurdakh,RU,1667869823,70.6333,147.9167,-11.76,96,63,11.39,broken clouds
184,184,Jumla,NP,1667869824,29.2747,82.1838,41.2,50,0,4.72,clear sky
185,185,Port Alfred,ZA,1667869855,-33.5906,26.891,64.18,88,100,5.99,overcast clouds
186,186,Zhangaözen,KZ,1667869855,43.3,52.8,32.85,75,1,5.41,clear sky
187,187,Dolores,AR,1667869856,-36.3132,-57.6792,55.71,92,0,8.77,light rain
188,188,Lagoa,PT,1667869856,39.05,-27.9833,63.09,67,100,18.34,overcast clouds
189,189,Olafsvik,IS,1667869857,64.8945,-23.7142,42.33,75,100,15.95,overcast clouds
190,190,Burriana,ES,1667869858,39.889,-0.085,60.67,88,17,4.23,few clouds
191,191,Cherskiy,RU,1667869858,68.75,161.3,-5.84,98,18,2.55,few clouds
192,192,Solnechnyy,RU,1667869858,50.7214,136.6319,30.27,51,100,2.48,overcast clouds
193,193,Kashgar,CN,1667869859,39.4547,75.9797,42.73,48,95,3.04,overcast clouds
194,194,Palana,RU,1667869859,59.1167,159.9667,22.15,89,100,9.93,overcast clouds
195,195,Todos Santos,MX,1667869860,23.45,-110.2167,73.04,74,2,6.87,clear sky
196,196,Balclutha,NZ,1667869684,-46.2339,169.75,59.43,63,98,5.61,overcast clouds
197,197,Boende,CD,1667869861,-0.2167,20.8667,70.12,98,100,2.39,overcast clouds
198,198,Muisne,EC,1667869861,0.6,-80.0333,74.17,77,75,5.79,broken clouds
199,199,San Quintín,MX,1667869609,30.4833,-115.95,64.65,83,0,11.63,clear sky
200,200,Killybegs,IE,1667869862,54.6333,-8.45,49.69,84,44,20.51,scattered clouds
201,201,Baykit,RU,1667869863,61.67,96.37,8.64,99,89,3.02,overcast clouds
202,202,Gura Teghii,RO,1667869863,45.4833,26.4167,49.68,82,100,4.36,overcast clouds
203,203,Pavlovka,RU,1667869864,52.6897,47.1405,29.8,91,76,6.69,broken clouds
204,204,Torbay,CA,1667869864,47.6666,-52.7314,60.76,97,100,26.46,light intensity drizzle
205,205,Dicabisagan,PH,1667869865,17.0818,122.4157,80.01,85,93,4.83,heavy intensity rain
206,206,Narsaq,GL,1667869865,60.9167,-46.05,30.42,77,100,6.62,overcast clouds
207,207,Marawi,PH,1667869866,7.9986,124.2928,79.3,71,28,1.52,scattered clouds
208,208,Glens Falls,US,1667869823,43.3095,-73.644,52.52,53,75,4.0,broken clouds
209,209,Yangi Marg`Ilon,UZ,1667869867,40.4272,71.7189,48.92,81,75,4.61,broken clouds
210,210,Hong Kong,HK,1667869852,22.2855,114.1577,73.33,87,100,8.01,overcast clouds
211,211,East London,ZA,1667869867,-33.0153,27.9116,67.39,87,100,13.65,overcast clouds
212,212,Lavrentiya,RU,1667869868,65.5833,-171.0,28.92,97,100,21.94,snow
213,213,Santa Isabel Rio Negro,BR,1667869868,-0.4139,-65.0192,73.71,97,94,1.34,overcast clouds
214,214,Airai,TL,1667869869,-8.9266,125.4092,73.15,59,90,1.07,overcast clouds
215,215,Napoleon,US,1667869869,41.3923,-84.1252,50.04,45,28,8.97,scattered clouds
216,216,Shelburne,CA,1667869870,44.0787,-80.2041,39.76,76,100,14.18,overcast clouds
217,217,Katsuura,JP,1667869871,35.1333,140.3,63.01,71,0,10.65,clear sky
218,218,Vilhena,BR,1667869871,-12.7406,-60.1458,71.4,41,4,0.51,clear sky
219,219,Simbahan,PH,1667869872,6.3032,120.5836,81.81,77,100,2.66,overcast clouds
220,220,Vardø,NO,1667869872,70.3705,31.1107,33.78,86,75,6.91,broken clouds
221,221,Dudinka,RU,1667869873,69.4058,86.1778,-7.38,100,22,3.31,few clouds
222,222,Hofn,IS,1667869874,64.2539,-15.2082,43.77,92,100,27.04,overcast clouds
223,223,Tuktoyaktuk,CA,1667869874,69.4541,-133.0374,3.04,83,100,9.75,overcast clouds
224,224,Adrar,MR,1667869875,20.5022,-10.0711,75.29,16,0,8.28,clear sky
225,225,Beyneu,KZ,1667869875,45.3167,55.2,32.5,76,6,5.21,clear sky
226,226,Gobabis,,1667869875,-22.45,18.9667,61.81,70,0,5.48,clear sky
227,227,Kalabo,ZM,1667869876,-14.97,22.6814,67.3,85,100,4.09,light rain
228,228,Tartagal,AR,1667869876,-22.5164,-63.8013,78.67,28,100,2.84,overcast clouds
229,229,Lorengau,PG,1667869877,-2.0226,147.2712,84.69,73,100,5.73,overcast clouds
230,230,Danilovka,RU,1667869877,50.3557,44.1168,32.63,79,100,5.17,overcast clouds
231,231,Uauá,BR,1667869878,-9.8414,-39.4817,75.61,67,37,15.17,scattered clouds
232,232,Faya,SA,1667869908,18.3851,42.4509,57.72,86,1,3.76,clear sky
233,233,Adjumani,UG,1667869909,3.3779,31.7909,68.63,92,100,2.33,light rain
234,234,Voznesen'Ye,RU,1667869909,61.0106,35.4781,37.83,83,100,11.59,overcast clouds
235,235,Grindavik,IS,1667869910,63.8424,-22.4338,41.47,87,75,17.27,light rain
236,236,Alghero,IT,1667869699,40.5589,8.3181,55.49,100,20,3.44,few clouds
237,237,Shugurovo,RU,1667869911,54.5083,52.1326,24.57,97,86,5.21,overcast clouds
238,238,Mahébourg,MU,1667869911,-20.4081,57.7,70.25,79,44,10.45,scattered clouds
239,239,Port Macquarie,AU,1667869796,-31.4333,152.9167,65.89,63,69,8.08,broken clouds
240,240,Tuatapere,NZ,1667869912,-46.1333,167.6833,64.83,52,91,4.97,overcast clouds
241,241,Rio Brilhante,BR,1667869653,-21.8019,-54.5464,66.07,56,66,6.76,broken clouds
242,242,Severo-Kuril'Sk,RU,1667869913,50.6789,156.125,39.72,74,78,18.03,broken clouds
243,243,Upernavik,GL,1667869913,72.7868,-56.1549,8.31,88,94,7.11,overcast clouds
244,244,Farafangana,MG,1667869914,-22.8167,47.8333,72.03,88,88,9.73,overcast clouds
245,245,Ketchikan,US,1667869914,55.3422,-131.6461,24.39,44,0,11.32,clear sky
246,246,Morehead,US,1667869915,37.2711,-87.1764,65.98,39,100,5.75,overcast clouds
247,247,Achacachi,BO,1667869874,-16.05,-68.6833,41.83,76,33,9.42,scattered clouds
248,248,Nanortalik,GL,1667869915,60.1432,-45.2371,28.29,87,100,3.44,overcast clouds
249,249,Khandyga,RU,1667869916,62.6667,135.6,-11.29,95,97,3.06,overcast clouds
250,250,Gazojak,TM,1667869917,41.1875,61.4036,38.43,64,87,9.26,overcast clouds
251,251,Paraíba Do Sul,BR,1667869917,-22.1619,-43.2928,64.17,98,95,2.1,overcast clouds
252,252,Jalu,LY,1667869918,29.0331,21.5482,62.73,77,0,9.89,clear sky
253,253,Kumul,CN,1667869918,42.8,93.45,45.0,30,100,1.5,overcast clouds
254,254,Altamont,US,1667869749,42.2068,-121.7372,35.44,78,75,11.5,broken clouds
255,255,Pamanukan,ID,1667869919,-6.2842,107.8106,79.88,74,100,2.15,overcast clouds
256,256,Hlobyne,UA,1667869919,49.3878,33.2596,36.19,75,63,6.2,broken clouds
257,257,Umluj,SA,1667869920,25.0213,37.2685,73.67,60,0,8.99,clear sky
258,258,Bilibino,RU,1667869921,68.0546,166.4372,-3.55,96,66,4.03,broken clouds
259,259,Laguna,US,1667869838,38.421,-121.4238,55.69,77,100,6.91,overcast clouds
260,260,Balyqshy,KZ,1667869921,47.0667,51.8667,35.6,75,75,4.47,broken clouds
